stock_code,company_name,ipo_date,doc_type,headline,url,resolved_from_htm_index,release_date,local_path,downloaded
02450,"Huaibei GreenGold Industry Investment Co., Ltd.",2023-01-20,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1230/2022123000043.pdf,,2022-12-30 06:13:00,pdfs/02450/prospectus_0.pdf,True
02450,"Huaibei GreenGold Industry Investment Co., Ltd.",2023-01-20,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1230/2022123000055.pdf,,2022-12-30 06:18:00,pdfs/02450/prospectus_1.pdf,True
02450,"Huaibei GreenGold Industry Investment Co., Ltd.",2023-01-20,allotment,Announcements and Notices - [Allotment Results] - Announcement of Offer Price and Allotment Results,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0119/10580437/2023011900020.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0119/2023011900018.htm,2023-01-19 06:31:00,pdfs/02450/allotment_0.pdf,True
02450,"Huaibei GreenGold Industry Investment Co., Ltd.",2023-01-20,over_allotment_exercise,,,,,,False
02450,"Huaibei GreenGold Industry Investment Co., Ltd.",2023-01-20,stabilization,"Announcements and Notices - [Other - Miscellaneous] - STABILISING ACTIONS, END OF STABILISATION PERIOD AND LAPSE OF THE OVER-ALLOTMENT OPTION",https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0212/2023021200031.pdf,,2023-02-12 18:35:00,pdfs/02450/stabilization_0.pdf,True
02482,"Logory Logistics Technology Co., Ltd.",2023-03-09,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0227/2023022700005.pdf,,2023-02-27 06:09:00,pdfs/02482/prospectus_0.pdf,True
02482,"Logory Logistics Technology Co., Ltd.",2023-03-09,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0227/2023022700007.pdf,,2023-02-27 06:12:00,pdfs/02482/prospectus_1.pdf,True
02482,"Logory Logistics Technology Co., Ltd.",2023-03-09,allotment,Announcements and Notices - [Allotment Results] - Announcement of Offer Price and Allotment Results,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0308/10624749/2023030800010.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0308/2023030800008.htm,2023-03-08 06:20:00,pdfs/02482/allotment_0.pdf,True
02482,"Logory Logistics Technology Co., Ltd.",2023-03-09,over_allotment_exercise,,,,,,False
02482,"Logory Logistics Technology Co., Ltd.",2023-03-09,stabilization,"Announcements and Notices - [Other - Miscellaneous] - END OF STABILIZATION PERIOD, NO STABILIZING ACTIONS AND LAPSE OF OVER-ALLOTMENT OPTION",https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0403/2023040300095.pdf,,2023-04-03 07:40:00,pdfs/02482/stabilization_0.pdf,True
09636,JF Wealth Holdings Ltd,2023-03-10,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0228/2023022800011.pdf,,2023-02-28 06:16:00,pdfs/09636/prospectus_0.pdf,True
09636,JF Wealth Holdings Ltd,2023-03-10,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0228/2023022800017.pdf,,2023-02-28 06:20:00,pdfs/09636/prospectus_1.pdf,True
09636,JF Wealth Holdings Ltd,2023-03-10,allotment,Announcements and Notices - [Allotment Results] - ANNOUNCEMENT OF FINAL OFFER PRICE AND ALLOTMENT RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0309/10625859/2023030900010.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0309/2023030900008.htm,2023-03-09 06:24:00,pdfs/09636/allotment_0.pdf,True
09636,JF Wealth Holdings Ltd,2023-03-10,over_allotment_exercise,,,,,,False
09636,JF Wealth Holdings Ltd,2023-03-10,stabilization,Announcements and Notices - [Other - Miscellaneous] - PARTIAL EXERCISE OF THE OVER-ALLOTMENT OPTION STABILIZING ACTIONS AND END OF STABILIZATION PERIOD,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0402/2023040200127.pdf,,2023-04-02 18:30:00,pdfs/09636/stabilization_0.pdf,True
